GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Gibson, IN",2015,2939230,1341112,33255,24411,1065844
"Grant, IN",2015,3462832,2480422,68209,35323,1142015
"Greene, IN",2015,614937,1144408,31701,10904,235372
"Hamilton, IN",2015,17144738,20760833,310840,191009,7528055
"Hancock, IN",2015,2285039,3284589,72745,32201,1002349
"Harrison, IN",2015,975926,1508402,39033,16028,385860
"Hendricks, IN",2015,5712671,7075011,158958,83934,2513959
"Henry, IN",2015,1119890,1645327,49118,17221,451376
"Howard, IN",2015,4415289,3109118,82855,48491,1951424
"Huntington, IN",2015,1429109,1378216,36652,19196,554580
"Jackson, IN",2015,2201816,1742347,44986,25493,910142
"Jasper, IN",2015,1459163,1368415,33234,15954,476694
"Jay, IN",2015,1029591,804554,21163,10725,276136
"Jefferson, IN",2015,1399381,1245007,32809,16678,520596
"Jennings, IN",2015,661123,980359,27881,10249,291010
"Johnson, IN",2015,4751493,6581640,149815,69074,2011911
"Knox, IN",2015,1762235,1495302,37648,22854,710483
"Kosciusko, IN",2015,5152898,3635222,79126,48022,2193416
"LaPorte, IN",2015,3988452,4174462,112237,53301,1714799
"Lagrange, IN",2015,1571462,1393452,38827,21445,562449
"Lake, IN",2015,23126376,19535880,493992,242920,9318442
"Lawrence, IN",2015,1253213,1649250,45341,18812,515909
"Madison, IN",2015,3594838,4417514,129673,52487,1561784
"Marion, IN",2015,84225898,44510387,945714,731805,33897540
"Marshall, IN",2015,1580701,1741146,46714,25164,741795
"Martin, IN",2015,935383,362360,10072,8617,486604
"Miami, IN",2015,897306,1131769,36345,13445,384117
"Monroe, IN",2015,6119254,5279510,140071,86971,2809529
"Montgomery, IN",2015,1616516,1435161,38045,20834,688921
"Morgan, IN",2015,1438915,2732679,70148,23333,603610
"Newton, IN",2015,370931,520156,13925,5010,136588
"Noble, IN",2015,1912138,1701268,47298,24459,750585
"Ohio, IN",2015,123546,222072,5909,2095,45194
"Orange, IN",2015,620108,648652,19730,10112,266965
"Owen, IN",2015,455834,732030,21067,7471,194440
"Parke, IN",2015,306357,531709,16606,5521,106535
"Perry, IN",2015,786288,663818,19327,8748,271022
"Pike, IN",2015,767589,452518,12328,4388,156654
"Porter, IN",2015,6548253,7850062,168631,79551,2756545
"Posey, IN",2015,1322516,1126809,25570,11374,482883
"Pulaski, IN",2015,531032,498231,12858,6281,188106
"Putnam, IN",2015,1019307,1231668,36996,17622,484109
"Randolph, IN",2015,781152,937840,25245,10224,269343
"Ripley, IN",2015,1088179,1060099,28654,16442,564735
"Rush, IN",2015,449048,642432,16763,7504,203269
"Scott, IN",2015,613457,810219,23956,9957,275763
"Shelby, IN",2015,1824461,1703242,44435,23503,794156
"Spencer, IN",2015,1228696,807660,20438,10065,279475
"St. Joseph, IN",2015,13055571,11598044,269192,157231,5618863
"Starke, IN",2015,431565,734286,23026,6989,153936
"Steuben, IN",2015,1322536,1287999,34301,20790,571345
"Sullivan, IN",2015,928107,664655,20998,8318,251049
"Switzerland, IN",2015,227276,300524,10100,3302,79582
"Tippecanoe, IN",2015,8633110,6497697,182041,108608,4015611
"Tipton, IN",2015,469381,624451,15326,6591,191093
"Union, IN",2015,129612,240308,7188,2314,46935
"Vanderburgh, IN",2015,10360881,7587675,180488,130476,5030214
"Vermillion, IN",2015,796617,534209,15633,5962,208675
"Vigo, IN",2015,4761948,3724963,107338,60831,2043481
"Wabash, IN",2015,1186096,1217382,31948,16474,452603
"Warren, IN",2015,210612,312591,8387,2946,74463
"Warrick, IN",2015,2146871,3100772,61929,24053,761798
"Washington, IN",2015,646921,968082,27797,9661,218109
"Wayne, IN",2015,2551821,2451339,67417,38276,1184356
"Wells, IN",2015,1129453,1069761,27882,14357,420533
"White, IN",2015,938160,932724,24528,12947,364062
"Whitley, IN",2015,1204425,1333266,33431,16985,512443
"Adams, IN",2016,1570810,1246090,35221,20525,529545
"Allen, IN",2016,19777066,15815497,371849,237837,8818951
"Bartholomew, IN",2016,6343354,3844983,81035,60669,2748397
"Benton, IN",2016,439574,325191,8644,3775,93846
"Blackford, IN",2016,296475,420097,12311,4720,125248
"Boone, IN",2016,2897318,4476330,65324,39348,1236072
"Brown, IN",2016,280240,653102,15239,5664,93382
"Carroll, IN",2016,567440,775795,20022,7862,196100
"Cass, IN",2016,1350324,1347172,38178,18797,566810
"Clark, IN",2016,5030645,4753109,116893,68429,2330610
"Clay, IN",2016,751762,921531,26341,11015,281100
"Clinton, IN",2016,1472370,1148704,32741,14827,461890
"Crawford, IN",2016,189265,332477,10519,3441,68141
"Daviess, IN",2016,1159564,1256282,32944,17728,445549
"DeKalb, IN",2016,2452115,1723472,42451,27647,1026370
"Dearborn, IN",2016,1725132,2152163,50031,20358,580685
"Decatur, IN",2016,1400258,1036745,26514,17347,641493
"Delaware, IN",2016,3834913,3936721,114627,60289,1926741
"Dubois, IN",2016,2681736,2149958,43123,35694,1264496
"Elkhart, IN",2016,14744750,8436448,204114,154715,6369093
"Fayette, IN",2016,568850,859004,23527,8967,248894
"Floyd, IN",2016,2835079,3991176,77718,40559,1341985
"Fountain, IN",2016,461253,607860,16445,6520,164079
"Franklin, IN",2016,497675,973801,22787,8389,162048
"Fulton, IN",2016,619081,768382,20412,9411,249970
"Gibson, IN",2016,3365655,1388056,33192,24665,1111282
"Grant, IN",2016,3217249,2475406,67516,34724,1147273
"Greene, IN",2016,632855,1164874,31373,10720,233692
"Hamilton, IN",2016,17992658,21978659,318930,198509,7917806
"Hancock, IN",2016,2468333,3460745,74159,33435,1069110
"Harrison, IN",2016,1024096,1561811,39069,15778,409146
"Hendricks, IN",2016,6082378,7458521,161804,88597,2670225
"Henry, IN",2016,1134947,1700225,48889,17162,467299
"Howard, IN",2016,4327647,3160214,82965,49709,1983161
"Huntington, IN",2016,1399007,1389223,36451,18732,559521
"Jackson, IN",2016,2211039,1737862,45301,25704,960656
"Jasper, IN",2016,1433234,1387510,33101,16071,489625
"Jay, IN",2016,839403,736402,21054,10521,277656
"Jefferson, IN",2016,1403484,1251620,32860,16607,523200
"Jennings, IN",2016,648453,997916,27723,10166,291957
"Johnson, IN",2016,4978199,6885595,152584,71537,2134259
"Knox, IN",2016,1838213,1527996,37207,22709,731175
"Kosciusko, IN",2016,4766541,3402485,79438,48798,1926771
"LaPorte, IN",2016,4006596,4292650,111937,53133,1733658
"Lagrange, IN",2016,1641962,1448305,39372,22114,595459
"Lake, IN",2016,22763909,20048999,493269,243612,9374446
"Lawrence, IN",2016,1273388,1704332,45287,18819,537539
"Madison, IN",2016,3650711,4535504,129643,52969,1614485
"Marion, IN",2016,87054587,45808191,952724,741927,35149694
"Marshall, IN",2016,1634339,1787456,46591,25346,758298
"Martin, IN",2016,936672,358196,10017,8682,501044
"Miami, IN",2016,927229,1151429,36431,13402,391071
"Monroe, IN",2016,6373546,5559733,140704,88070,2908564
"Montgomery, IN",2016,1601872,1452745,37991,20489,693487
"Morgan, IN",2016,1556163,2840125,70336,24720,690454
"Newton, IN",2016,327481,517206,13946,5013,138409
"Noble, IN",2016,1920408,1729006,47176,23920,748175
"Ohio, IN",2016,119657,222997,5930,2089,45026
"Orange, IN",2016,620705,665389,19590,10297,282754
"Owen, IN",2016,482237,761327,21189,7249,200887
"Parke, IN",2016,312869,559157,16501,5765,114518
"Perry, IN",2016,789555,672937,19013,8769,278213
"Pike, IN",2016,771259,456694,12287,4449,153532
"Porter, IN",2016,6854958,8078788,169038,81040,2809030
"Posey, IN",2016,1567257,1133663,25565,11745,483551
"Pulaski, IN",2016,565526,511663,12680,6326,189578
"Putnam, IN",2016,1093283,1293345,36677,18340,520562
"Randolph, IN",2016,735798,925091,25217,9984,269732
"Ripley, IN",2016,1095849,1092152,28746,16368,578307
"Rush, IN",2016,512583,680203,16692,7574,202749
"Scott, IN",2016,656972,840668,24040,10338,303789
"Shelby, IN",2016,1891274,1777588,44351,23975,826789
"Spencer, IN",2016,1233071,813974,20253,9814,280797
"St. Joseph, IN",2016,13172979,11653968,270791,159829,5847176
"Starke, IN",2016,450430,753902,23219,7353,157539
"Steuben, IN",2016,1340850,1342774,34149,20619,578691
"Sullivan, IN",2016,967666,679642,20841,7949,237075
"Switzerland, IN",2016,218856,298424,10037,3339,82228
"Tippecanoe, IN",2016,9060908,6690797,184643,110456,4144264
"Tipton, IN",2016,489185,646772,15251,6545,191580
"Union, IN",2016,131921,252611,7147,2329,46840
"Vanderburgh, IN",2016,10491640,7600626,180213,130876,5055172
"Vermillion, IN",2016,865236,542986,15631,6055,212410
"Vigo, IN",2016,4534735,3809274,107541,61115,2083757
"Wabash, IN",2016,1141831,1222288,31646,16491,461980
"Warren, IN",2016,237792,329153,8301,3128,75269
"Warrick, IN",2016,2138402,3205266,62486,24108,773327
"Washington, IN",2016,600534,966301,27734,9744,223826
"Wayne, IN",2016,2625584,2516009,67167,38416,1215522
"Wells, IN",2016,1080161,1084405,27896,14573,425601
"White, IN",2016,975356,958779,24399,12685,370691
"Whitley, IN",2016,1294484,1384458,33455,16883,525925
"Adams, IN",2017,1725316,1313620,35415,21002,574853
"Allen, IN",2017,20562724,16296639,374509,241344,9217855
"Bartholomew, IN",2017,6323063,4011815,80902,61246,2847327
"Benton, IN",2017,419520,327737,8621,3850,101688
"Blackford, IN",2017,314903,427219,12251,4685,131984
"Boone, IN",2017,3086368,4640885,67081,41219,1330987
"Brown, IN",2017,287151,674388,15283,5568,90143
"Carroll, IN",2017,624539,801954,20138,8164,213299
"Cass, IN",2017,1371826,1394385,38117,18825,595738
"Clark, IN",2017,5273334,4928865,118089,68401,2380841
"Clay, IN",2017,799045,963274,26318,10893,295790
"Clinton, IN",2017,1524156,1167562,32833,14791,474951
"Crawford, IN",2017,191758,345636,10474,3353,69170
"Daviess, IN",2017,1248981,1327484,33061,17663,466170
"DeKalb, IN",2017,2475014,1802407,42573,27948,1093930
"Dearborn, IN",2017,1784239,2235521,50289,20119,582630
"Decatur, IN",2017,1574172,1078347,26562,17567,677217
"Delaware, IN",2017,3982269,4061398,114031,60392,1995163
"Dubois, IN",2017,2759578,2264165,43286,35685,1314458
"Elkhart, IN",2017,16363864,9114688,204843,162365,7225585
"Fayette, IN",2017,578067,887803,23462,8839,250796
"Floyd, IN",2017,2893897,4053390,78109,41626,1371546
"Fountain, IN",2017,444645,624043,16420,6593,173158
"Franklin, IN",2017,549535,1008557,22716,8134,165575
"Fulton, IN",2017,659270,789895,20324,9506,257052
"Gibson, IN",2017,3793504,1434208,33175,24661,1131175
"Grant, IN",2017,2392185,2497580,67278,35040,1146803
"Greene, IN",2017,639385,1207984,31201,10807,251040
"Hamilton, IN",2017,18733739,23237333,326433,205823,8400974
"Hancock, IN",2017,2766761,3624459,75474,34384,1164127
"Harrison, IN",2017,1108049,1612045,39099,15995,426296
"Hendricks, IN",2017,6461982,7863817,165225,92594,2917475
"Henry, IN",2017,1262209,1753438,48802,17608,495850
"Howard, IN",2017,4238852,3241632,82960,49764,2036278
"Huntington, IN",2017,1433299,1434731,36413,18474,577487
"Jackson, IN",2017,2277231,1770147,45462,26088,987692
"Jasper, IN",2017,1515076,1391790,33074,16167,512929
"Jay, IN",2017,936327,777396,20917,10470,292118
"Jefferson, IN",2017,1469251,1279516,32723,16659,529674
"Jennings, IN",2017,691057,1038020,27733,10230,307919
"Johnson, IN",2017,5130640,7166623,155009,74353,2277396
"Knox, IN",2017,1942548,1563546,36886,22415,743239
"Kosciusko, IN",2017,5195294,3588314,79906,49402,1980058
"LaPorte, IN",2017,4065045,4424111,111815,53194,1780534
"Lagrange, IN",2017,1895235,1594475,39538,22675,678914
"Lake, IN",2017,23688762,20692128,492798,245569,9661428
"Lawrence, IN",2017,1268694,1762521,45278,19376,566398
"Madison, IN",2017,3697651,4677723,129791,53774,1686448
"Marion, IN",2017,88127825,46690204,959016,752985,36716300
"Marshall, IN",2017,1671899,1861573,46390,24828,762404
"Martin, IN",2017,1000934,373272,9982,8831,530200
"Miami, IN",2017,993384,1197177,36346,13341,401048
"Monroe, IN",2017,6742801,5878131,140749,89835,3070506
"Montgomery, IN",2017,1610499,1445631,38052,20459,715398
"Morgan, IN",2017,1621957,2932354,70628,25093,705778
"Newton, IN",2017,315741,520282,13963,4958,140871
"Noble, IN",2017,1878515,1815680,47081,24075,770963
"Ohio, IN",2017,134585,227876,5897,2045,50753
"Orange, IN",2017,681245,709741,19552,10283,290796
"Owen, IN",2017,513512,788618,21115,7447,212234
"Parke, IN",2017,339585,582606,16398,5770,118971
"Perry, IN",2017,740532,694169,19015,8629,284927
"Pike, IN",2017,810539,479243,12205,4650,186464
"Porter, IN",2017,7115838,8524608,170225,81604,2915541
"Posey, IN",2017,2307450,1182057,25492,11791,497969
"Pulaski, IN",2017,584950,510257,12605,6429,201537
"Putnam, IN",2017,1145229,1341678,36856,18778,546570
"Randolph, IN",2017,759618,905836,25062,9741,259056
"Ripley, IN",2017,1133927,1140120,28819,16519,592921
"Rush, IN",2017,571794,716015,16716,7582,207652
"Scott, IN",2017,698658,857042,24207,10531,319404
"Shelby, IN",2017,1931519,1845287,44505,24181,847838
"Spencer, IN",2017,1238572,854444,20160,9826,293726
"St. Joseph, IN",2017,13454037,12194837,271084,161043,6000257
"Starke, IN",2017,454072,767472,23172,7208,157674
"Steuben, IN",2017,1400397,1416293,34163,20736,610704
"Sullivan, IN",2017,938576,700966,20859,7817,244013
"Switzerland, IN",2017,234845,313153,9978,3413,85175
"Tippecanoe, IN",2017,9596087,7006344,184553,112362,4316801
"Tipton, IN",2017,498087,653925,15252,6564,198603
"Union, IN",2017,142577,260798,7181,2295,47748
"Vanderburgh, IN",2017,11011533,7851462,179499,132749,5319929
"Vermillion, IN",2017,892248,567617,15556,6061,222081
"Vigo, IN",2017,4480630,3942038,107264,61342,2146973
"Wabash, IN",2017,1137924,1246676,31489,16307,473161
"Warren, IN",2017,225470,332452,8361,3133,79607
"Warrick, IN",2017,2237906,3374866,62946,24260,793960
"Washington, IN",2017,646745,1013294,27797,9991,233812
"Wayne, IN",2017,2725048,2588309,66818,38748,1272260
"Wells, IN",2017,1090649,1111962,27972,14494,433097
"White, IN",2017,945258,962700,24520,12453,365968
"Whitley, IN",2017,1397820,1436211,33703,16937,555053
"Adams, IN",2018,1761390,1368525,35571,21371,595303
"Allen, IN",2018,21771351,17275592,378174,246573,9729563
"Bartholomew, IN",2018,6853413,4323240,81282,61983,3093167
"Benton, IN",2018,421183,347122,8658,3933,112321
"Blackford, IN",2018,346668,440952,12197,4624,136423
"Boone, IN",2018,3333335,4955573,68444,42409,1451496
"Brown, IN",2018,308232,714290,15541,5526,93306
"Carroll, IN",2018,661571,848308,20280,8374,222575
"Cass, IN",2018,1392657,1446011,38215,19209,609299
"Clark, IN",2018,5539886,5098959,118935,68675,2460211
"Clay, IN",2018,795835,977680,26376,11034,301657
"Clinton, IN",2018,1526979,1240301,32884,14994,498768
"Crawford, IN",2018,196802,355935,10519,3294,71607
"Daviess, IN",2018,1343411,1393614,33238,18201,499010
"DeKalb, IN",2018,2599786,1900091,42935,28104,1162140
"Dearborn, IN",2018,1811147,2350940,50304,20262,614758
"Decatur, IN",2018,1672738,1121820,26611,17869,712688
"Delaware, IN",2018,4100096,4153955,112723,60241,2032057
"Dubois, IN",2018,2882358,2322932,43441,35854,1345609
"Elkhart, IN",2018,16362889,9449457,206230,166165,7355143
"Fayette, IN",2018,595113,921131,23393,9022,261397
"Floyd, IN",2018,3041192,4250309,79096,42756,1426690
"Fountain, IN",2018,473309,648878,16414,6915,186133
"Franklin, IN",2018,584768,1031632,22768,7826,172155
"Fulton, IN",2018,708103,830059,20458,9766,268955
"Gibson, IN",2018,3597728,1491995,32992,25095,1178067
"Grant, IN",2018,2504319,2623505,67137,35373,1213000
"Greene, IN",2018,664101,1247198,30999,10856,261932
"Hamilton, IN",2018,20010869,24856451,334364,211980,8733177
"Hancock, IN",2018,2990269,3869181,77023,35687,1205345
"Harrison, IN",2018,1181912,1682403,39454,16062,439425
"Hendricks, IN",2018,6974924,8361834,168599,96947,3159694
"Henry, IN",2018,1377033,1823237,48915,17835,529609
"Howard, IN",2018,4325521,3401685,83087,48917,2053375
"Huntington, IN",2018,1470988,1496622,36429,18367,594889
"Jackson, IN",2018,2384826,1897209,45786,26498,1059218
"Jasper, IN",2018,1584236,1450850,32942,15793,512805
"Jay, IN",2018,982351,795608,20764,10288,293049
"Jefferson, IN",2018,1533807,1347394,32960,16701,548474
"Jennings, IN",2018,747093,1087695,27703,10536,323109
"Johnson, IN",2018,5615374,7566920,157605,77767,2507760
"Knox, IN",2018,1935961,1595416,36395,22733,768089
"Kosciusko, IN",2018,5592611,3745409,80363,50638,2079707
"LaPorte, IN",2018,4373655,4611182,112250,53329,1853798
"Lagrange, IN",2018,2009587,1672557,39756,23408,716283
"Lake, IN",2018,25406734,21758118,493981,247718,10044585
"Lawrence, IN",2018,1389029,1845939,45328,19715,604375
"Madison, IN",2018,3878537,4862197,129878,54130,1765115
"Marion, IN",2018,93441536,49476399,968269,762671,38218536
"Marshall, IN",2018,1722789,1910719,46259,24487,776285
"Martin, IN",2018,1064316,386912,9970,8960,550366
"Miami, IN",2018,997375,1225683,36152,13517,410641
"Monroe, IN",2018,7109377,6151725,140470,91519,3163624
"Montgomery, IN",2018,1712779,1497946,37921,20555,743753
"Morgan, IN",2018,1757703,3059079,71013,24771,679779
"Newton, IN",2018,342475,547744,13895,4987,144897
"Noble, IN",2018,1968534,1898608,47308,24599,813987
"Ohio, IN",2018,132328,234374,5913,2063,46168
"Orange, IN",2018,733949,728988,19727,10185,294499
"Owen, IN",2018,540927,825657,21263,7786,215986
"Parke, IN",2018,349925,599200,16381,5751,114771
"Perry, IN",2018,772004,710441,19106,8672,289941
"Pike, IN",2018,692925,493553,12273,4197,148956
"Porter, IN",2018,7956917,8990527,171541,83990,3088222
"Posey, IN",2018,3373980,1216615,25448,12088,540324
"Pulaski, IN",2018,615504,529637,12589,6556,210586
"Putnam, IN",2018,1166590,1387639,36863,18802,558120
"Randolph, IN",2018,780264,921805,24899,9653,266714
"Ripley, IN",2018,1155191,1178126,28968,16003,586265
"Rush, IN",2018,635500,737518,16719,7680,220144
"Scott, IN",2018,729233,885359,24224,10773,335212
"Shelby, IN",2018,2081187,1926669,44680,24440,884449
"Spencer, IN",2018,1233908,879925,20065,9816,303458
"St. Joseph, IN",2018,14327457,12771040,271942,163219,6232414
"Starke, IN",2018,514317,790226,23210,7154,166179
"Steuben, IN",2018,1471121,1499146,34273,21122,649974
"Sullivan, IN",2018,943099,728234,20865,7831,254996
"Switzerland, IN",2018,255239,335657,9947,3549,92548
"Tippecanoe, IN",2018,10337458,7471487,185908,115503,4723067
"Tipton, IN",2018,609072,683688,15217,7476,289262
"Union, IN",2018,149287,271315,7066,2382,49569
"Vanderburgh, IN",2018,11257135,8097611,179417,133998,5428255
"Vermillion, IN",2018,895766,570800,15563,6013,219391
"Vigo, IN",2018,4608292,4027839,107000,61149,2187217
"Wabash, IN",2018,1175337,1294741,31309,16285,494441
"Warren, IN",2018,236896,355986,8449,3169,85102
"Warrick, IN",2018,2413110,3498819,63025,24818,849523
"Washington, IN",2018,688881,1078262,27955,10079,242141
"Wayne, IN",2018,2846090,2687334,66709,39278,1323562
"Wells, IN",2018,1185588,1158935,28025,14657,459720
"White, IN",2018,999114,1025636,24557,12714,391230
"Whitley, IN",2018,1600646,1521706,34003,17454,597684
"Adams, IN",2019,1879370,1416503,35694,20702,608013
"Allen, IN",2019,22198490,17932613,382508,248943,10138510
"Bartholomew, IN",2019,7051984,4455624,82045,61913,3167977
"Benton, IN",2019,479650,364724,8741,3699,105598
"Blackford, IN",2019,350159,448364,12078,4375,124903
"Boone, IN",2019,3585866,5333720,69557,44177,1571320
"Brown, IN",2019,307797,749315,15396,5494,95916
"Carroll, IN",2019,684964,869943,20292,8489,235851
"Cass, IN",2019,1440847,1502816,37976,19015,624203
"Clark, IN",2019,5627178,5411124,120051,68898,2569754
"Clay, IN",2019,789230,991237,26482,10909,307033
"Clinton, IN",2019,1551157,1267190,33168,14932,508698
"Crawford, IN",2019,184541,368337,10518,3147,71191
"Daviess, IN",2019,1349589,1446923,33352,18329,525505
"DeKalb, IN",2019,2677822,1948710,43225,28119,1174282
"Dearborn, IN",2019,1927431,2465801,50407,20390,635656
"Decatur, IN",2019,1728715,1186094,26389,18446,727266
"Delaware, IN",2019,4219411,4328406,112208,60061,2133798
"Dubois, IN",2019,2848199,2358863,43558,35570,1384266
"Elkhart, IN",2019,16105787,9438978,206985,161305,7008194
"Fayette, IN",2019,585424,944902,23450,8575,262025
"Floyd, IN",2019,3144607,4341158,79988,42630,1485805
"Fountain, IN",2019,460021,663361,16396,6819,192492
"Franklin, IN",2019,541611,1059803,22779,7834,173828
"Fulton, IN",2019,705588,854853,20427,9586,277605
"Gibson, IN",2019,3408134,1532446,33001,25311,1206738
"Grant, IN",2019,2505272,2601114,66980,34819,1230192
"Greene, IN",2019,665603,1304955,30858,10703,261731
"Hamilton, IN",2019,21203606,26309601,342222,213371,9118984
"Hancock, IN",2019,3319014,4052687,78732,36911,1323306
"Harrison, IN",2019,1202057,1788668,39645,15762,445391
"Hendricks, IN",2019,7207815,8715454,172023,98629,3356632
"Henry, IN",2019,1409535,1894083,48817,17831,539690
"Howard, IN",2019,4356017,3479246,83500,47870,2101738
"Huntington, IN",2019,1494263,1529590,36747,18139,597566
"Jackson, IN",2019,2492511,1940437,46136,26644,1122290
"Jasper, IN",2019,1603039,1516981,33049,15481,506570
"Jay, IN",2019,905577,769227,20492,9980,286854
"Jefferson, IN",2019,1605161,1436878,33155,16745,562586
"Jennings, IN",2019,768184,1136988,27720,10569,337827
"Johnson, IN",2019,5875804,7975679,159809,79293,2622622
"Knox, IN",2019,1892546,1623862,36370,22355,779977
"Kosciusko, IN",2019,5925499,3870680,80441,50377,2146555
"LaPorte, IN",2019,4259550,4707917,112414,53240,1885362
"Lagrange, IN",2019,1905173,1652242,40145,22747,679124
"Lake, IN",2019,23477121,22416840,496431,247499,10253676
"Lawrence, IN",2019,1390670,1929431,45014,19563,628085
"Madison, IN",2019,3983960,5037033,129826,53826,1798158
"Marion, IN",2019,97780564,53374742,973834,771239,39904033
"Marshall, IN",2019,1710179,1950623,46139,24302,787775
"Martin, IN",2019,1129317,401349,9917,9439,595944
"Miami, IN",2019,1000205,1251795,36046,13115,406713
"Monroe, IN",2019,7238848,6394047,140375,92379,3301735
"Montgomery, IN",2019,1692184,1544180,37904,20151,752158
"Morgan, IN",2019,1918573,3196346,71421,24054,690584
"Newton, IN",2019,338675,568756,13878,4837,142926
"Noble, IN",2019,2009691,1941089,47520,24592,829007
"Ohio, IN",2019,120417,245659,5945,1976,45780
"Orange, IN",2019,672385,745769,19837,10283,297740
"Owen, IN",2019,565895,867436,21312,7896,237165
"Parke, IN",2019,372671,631090,16252,5685,118718
"Perry, IN",2019,750718,718181,19190,8591,293231
"Pike, IN",2019,753801,512441,12258,4149,150862
"Porter, IN",2019,7759510,9326106,172732,84262,3191706
"Posey, IN",2019,3537705,1300513,25318,12118,564568
"Pulaski, IN",2019,646149,552931,12475,6568,218390
"Putnam, IN",2019,1162147,1440603,36857,18584,569223
"Randolph, IN",2019,805293,947902,24713,9401,269582
"Ripley, IN",2019,1187035,1212000,28959,16244,601221
"Rush, IN",2019,633536,759514,16698,7559,224932
"Scott, IN",2019,741922,920903,24362,10516,340514
"Shelby, IN",2019,2091734,1986470,44933,24029,904166
"Spencer, IN",2019,1135462,921007,19916,9681,317924
"St. Joseph, IN",2019,15004213,12902557,272791,164027,6472096
"Starke, IN",2019,551337,808514,23299,6717,162532
"Steuben, IN",2019,1529485,1553576,34424,21312,671705
"Sullivan, IN",2019,961048,751155,20814,7972,288183
"Switzerland, IN",2019,253245,349196,9906,3405,84157
"Tippecanoe, IN",2019,10555829,7618600,186104,116966,4761003
"Tipton, IN",2019,597279,696990,15265,7605,273393
"Union, IN",2019,144884,279547,7113,2392,50641
"Vanderburgh, IN",2019,11790445,8501803,179594,133392,5702481
"Vermillion, IN",2019,857596,588113,15555,5892,241748
"Vigo, IN",2019,4732143,4126422,106467,60401,2228089
"Wabash, IN",2019,1200705,1326402,31138,16237,501878
"Warren, IN",2019,229853,361251,8465,3156,88132
"Warrick, IN",2019,2385305,3717088,63506,24989,885080
"Washington, IN",2019,647263,1102363,28083,9941,247369
"Wayne, IN",2019,2900785,2773489,66588,38949,1340584
"Wells, IN",2019,1145779,1195421,28178,14500,470686
"White, IN",2019,995992,1066334,24634,12576,403586
"Whitley, IN",2019,1612931,1584985,33830,17502,630151
"Adams, IN",2020,1781329,1525950,35852,20152,610007
"Allen, IN",2020,21269498,19345409,386082,241316,10295163
"Bartholomew, IN",2020,6677011,4590932,82216,58403,3013854
"Benton, IN",2020,515875,410693,8716,3695,105867
"Blackford, IN",2020,337121,477762,12111,4099,123540
"Boone, IN",2020,3955403,5523255,71134,48026,1859018
"Brown, IN",2020,289883,812467,15482,5251,95788
"Carroll, IN",2020,728935,954156,20331,8483,258331
"Cass, IN",2020,1492912,1621960,37791,18270,642163
"Clark, IN",2020,5591523,5917365,121353,68503,2693254
"Clay, IN",2020,793150,1082849,26419,10688,304873
"Clinton, IN",2020,1572110,1378391,33174,14586,527200
"Crawford, IN",2020,188107,401700,10525,3206,77971
"Daviess, IN",2020,1445854,1615557,33366,18260,567217
"DeKalb, IN",2020,2531675,2094328,43297,26798,1157089
"Dearborn, IN",2020,2001957,2636426,50754,19740,658858
"Decatur, IN",2020,1638093,1256977,26465,17329,715473
"Delaware, IN",2020,4224825,4658228,111763,57878,2180966
"Dubois, IN",2020,2801352,2529164,43643,34583,1368204
"Elkhart, IN",2020,15859944,10211653,206983,153511,7181280
"Fayette, IN",2020,577970,1026570,23362,8219,268222
"Floyd, IN",2020,3049043,4566920,80509,40898,1495630
"Fountain, IN",2020,467636,743521,16483,6514,188011
"Franklin, IN",2020,546654,1164049,22793,7933,189587
"Fulton, IN",2020,707695,935974,20469,9353,280637
"Gibson, IN",2020,3373559,1667849,33055,24726,1179433
"Grant, IN",2020,2465074,2820022,66475,34172,1233793
"Greene, IN",2020,645521,1413400,30804,10586,268245
"Hamilton, IN",2020,21131124,28069488,348966,214089,9547380
"Hancock, IN",2020,3417176,4434667,80187,36607,1352187
"Harrison, IN",2020,1194852,1927622,39662,15224,452990
"Hendricks, IN",2020,7709503,9352229,175575,100812,3630400
"Henry, IN",2020,1438847,2068956,48903,17506,549931
"Howard, IN",2020,4177318,3661971,83588,45863,1935189
"Huntington, IN",2020,1485433,1652628,36646,17741,600357
"Jackson, IN",2020,2566725,2045631,46461,26249,1126240
"Jasper, IN",2020,1501101,1672817,32892,15325,518903
"Jay, IN",2020,895595,863611,20476,9556,286437
"Jefferson, IN",2020,1548332,1552529,33100,16130,565473
"Jennings, IN",2020,744358,1229577,27581,10322,345773
"Johnson, IN",2020,6024517,8494055,162224,79495,2765513
"Knox, IN",2020,1901890,1787708,36248,21751,796009
"Kosciusko, IN",2020,6059715,4174128,80155,48398,2123743
"LaPorte, IN",2020,4078102,5050741,112276,51421,1902121
"Lagrange, IN",2020,1726402,1807624,40530,21856,678352
"Lake, IN",2020,21768060,23837938,498932,237805,10026034
"Lawrence, IN",2020,1345749,2103020,45012,19054,636699
"Madison, IN",2020,3962459,5494472,130195,52722,1848995
"Marion, IN",2020,97193090,58426998,976631,736470,40341600
"Marshall, IN",2020,1678308,2139460,46076,23529,800746
"Martin, IN",2020,1184345,441420,9803,9628,620702
"Miami, IN",2020,980029,1334970,35913,12716,412400
"Monroe, IN",2020,7170200,6770492,139571,89687,3469875
"Montgomery, IN",2020,1668360,1690768,37942,19871,761225
