GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Boone, IN",2011,2092839,3243036,58111,31386,874444
"Brown, IN",2011,235006,557445,15123,5800,82615
"Carroll, IN",2011,612850,720098,20054,7533,170739
"Cass, IN",2011,1204515,1225221,38968,18621,517188
"Clark, IN",2011,4302058,4018802,111741,59740,1786160
"Clay, IN",2011,616343,841634,26872,10645,233388
"Clinton, IN",2011,1163129,1058190,33154,14519,413288
"Crawford, IN",2011,170864,291286,10612,3573,58474
"Daviess, IN",2011,988656,1088924,31941,16255,368925
"DeKalb, IN",2011,1928222,1481754,42456,24359,816542
"Dearborn, IN",2011,1560965,1867663,50103,20611,572355
"Decatur, IN",2011,1031199,894751,25889,15096,448246
"Delaware, IN",2011,4210027,3469715,117695,58554,1661383
"Dubois, IN",2011,2146230,1869851,42289,33052,1029177
"Elkhart, IN",2011,9171608,6424889,198387,130770,4277434
"Fayette, IN",2011,543526,760851,24210,8935,224725
"Floyd, IN",2011,2253543,3086656,75165,38269,1107641
"Fountain, IN",2011,508706,580701,17157,7739,179001
"Franklin, IN",2011,433185,897643,23044,7380,129195
"Fulton, IN",2011,574700,706660,20788,9811,234798
"Gibson, IN",2011,2482545,1192229,33430,21325,805850
"Grant, IN",2011,2361615,2213974,69795,34321,1068294
"Greene, IN",2011,558754,1077551,32857,11108,218856
"Hamilton, IN",2011,12324147,16448092,283889,160833,5514214
"Hancock, IN",2011,1837855,2855032,70443,29621,809604
"Harrison, IN",2011,880444,1361766,39068,16474,368474
"Hendricks, IN",2011,4048730,5923971,148927,70776,1989027
"Henry, IN",2011,1028443,1499424,49331,17059,411807
"Howard, IN",2011,4087090,2733026,82919,45454,1661356
"Huntington, IN",2011,1208613,1265422,37197,18920,506815
"Jackson, IN",2011,1783971,1540430,43174,23654,715187
"Jasper, IN",2011,1312200,1230954,33367,15381,401660
"Jay, IN",2011,754904,685782,21343,10982,259283
"Jefferson, IN",2011,1326216,1117931,32392,15979,448255
"Jennings, IN",2011,595246,849391,28162,10324,268739
"Johnson, IN",2011,3504863,5554004,141926,61347,1563682
"Knox, IN",2011,1500862,1382634,38446,21677,642084
"Kosciusko, IN",2011,5037734,2854293,77481,45152,1597408
"LaPorte, IN",2011,3788488,3799757,111650,53919,1608193
"Lagrange, IN",2011,1030604,1075606,37518,18344,398094
"Lake, IN",2011,20725493,17723090,496428,241757,8811801
"Lawrence, IN",2011,1068020,1489867,46089,18448,461275
"Madison, IN",2011,3181501,3936184,131070,52512,1428813
"Marion, IN",2011,81121497,40686416,912575,693044,29700174
"Marshall, IN",2011,1464126,1565344,46937,23606,631908
"Martin, IN",2011,886484,355702,10303,8846,484869
"Miami, IN",2011,788149,1002354,36736,13234,345165
"Monroe, IN",2011,5168563,4572452,139261,85784,2448064
"Montgomery, IN",2011,1448807,1321861,38290,19544,593195
"Morgan, IN",2011,1370364,2525236,69372,22164,515538
"Newton, IN",2011,341449,487388,14073,5279,129405
"Noble, IN",2011,1552646,1471410,47246,22697,623593
"Ohio, IN",2011,172489,234048,6060,2269,51861
"Orange, IN",2011,528062,599840,19967,9868,246589
"Owen, IN",2011,474949,664223,21549,7508,175868
"Parke, IN",2011,283940,501094,16993,5433,96689
"Perry, IN",2011,657680,585189,19430,8445,237432
"Pike, IN",2011,792508,406754,12576,4565,155231
"Porter, IN",2011,5579901,6975889,165815,75434,2415448
"Posey, IN",2011,2321886,1070846,25683,11703,459965
"Pulaski, IN",2011,460898,486174,13240,6451,164765
"Putnam, IN",2011,859369,1121444,37771,16528,394951
"Randolph, IN",2011,755888,840208,26056,10388,240268
"Ripley, IN",2011,1177441,1007712,28713,17705,596578
"Rush, IN",2011,470945,609176,17297,7064,161475
"Scott, IN",2011,540178,697830,23977,9128,218328
"Shelby, IN",2011,1540513,1557802,44299,21441,631464
"Spencer, IN",2011,1214763,742142,20921,9738,253057
"St. Joseph, IN",2011,10977848,9846151,266874,152450,4988306
"Starke, IN",2011,379884,667153,23213,6820,134620
"Steuben, IN",2011,1116070,1141293,34030,19117,462607
"Sullivan, IN",2011,1032999,636212,21246,8405,238009
"Switzerland, IN",2011,210033,270262,10508,3550,80474
"Tippecanoe, IN",2011,7026169,5643486,174803,101655,3435332
"Tipton, IN",2011,384473,563561,15835,6030,152637
"Union, IN",2011,131858,225813,7494,2532,44505
"Vanderburgh, IN",2011,9583043,7359057,180225,129583,4539526
"Vermillion, IN",2011,783233,527085,16081,5752,196182
"Vigo, IN",2011,4227566,3480777,108283,61410,1912759
"Wabash, IN",2011,983227,1090738,32590,16067,397472
"Warren, IN",2011,237937,325786,8500,3061,70851
"Warrick, IN",2011,2040104,2660521,60298,22704,621951
"Washington, IN",2011,476587,848745,28204,9077,185322
"Wayne, IN",2011,2365513,2235542,68752,37029,1054852
"Wells, IN",2011,957590,963354,27743,14200,384628
"White, IN",2011,841702,882430,24654,12285,302992
"Whitley, IN",2011,992452,1179482,33353,15944,428977
"Adams, IN",2012,1221886,1148069,34410,19075,443977
"Allen, IN",2012,16369285,13835497,361762,227109,7776648
"Bartholomew, IN",2012,5944569,3436636,78566,57390,2426749
"Benton, IN",2012,325452,318412,8819,3907,88658
"Blackford, IN",2012,279726,405633,12602,4772,114945
"Boone, IN",2012,2167185,3439971,59395,33198,937904
"Brown, IN",2012,244597,585403,15133,5584,81493
"Carroll, IN",2012,566947,739495,20132,7772,180165
"Cass, IN",2012,1197883,1264211,38863,18546,511564
"Clark, IN",2012,4470902,4263901,112307,60433,1858578
"Clay, IN",2012,578694,852389,26842,11052,244960
"Clinton, IN",2012,1093659,1083023,33103,14549,418206
"Crawford, IN",2012,177562,298403,10651,3583,58443
"Daviess, IN",2012,947746,1121681,32094,16675,389632
"DeKalb, IN",2012,2077524,1525155,42258,25093,864803
"Dearborn, IN",2012,1671733,1954100,49945,20364,585922
"Decatur, IN",2012,1142360,940391,26022,16434,519890
"Delaware, IN",2012,3557025,3602710,116663,58937,1738798
"Dubois, IN",2012,2181358,1930826,42318,33267,1058936
"Elkhart, IN",2012,9693515,6921230,199160,136435,4723233
"Fayette, IN",2012,545962,787096,24053,8872,230046
"Floyd, IN",2012,2306334,3258190,75607,38255,1133170
"Fountain, IN",2012,548285,596671,17116,7874,190594
"Franklin, IN",2012,452134,915650,23040,7183,130097
"Fulton, IN",2012,609620,736597,20735,9842,250123
"Gibson, IN",2012,2588387,1231323,33361,22231,886445
